Date,Close_Scaled,EMA_10_Scaled,RSI_14_Scaled,BB_Upper_Scaled,BB_Lower_Scaled,MACD_Scaled,MACD_Signal_Scaled,STOCH_K_Scaled,STOCH_D_Scaled
2020-02-17,0.2379133967766326,0.19697289809228558,0.5632505639481851,0.17330591408313767,0.25836043648857954,0.45589550450872185,0.37426040088127016,0.918370261259146,0.8749788961283006
2020-02-18,0.24315932609685387,0.20084062429726135,0.5937249266731,0.1763064963657892,0.25740996829670726,0.4717496688817996,0.38909102766489667,0.9201759420301308,0.9172388390781949
2020-02-19,0.23501768477569318,0.20237897161248464,0.5258452487548639,0.17550955393935164,0.25772148807847606,0.478468964674937,0.40250274627873356,0.9150976927577095,0.9282705361544205
2020-02-20,0.2184195439146016,0.2003224198945457,0.4065604101148012,0.17407599821125408,0.25760396201242663,0.4719154902016638,0.4117230867930833,0.7687372246440152,0.8765499445841477
2020-02-24,0.2010240627806591,0.19516533183811102,0.3059607273182087,0.17315797730419602,0.25546540751610014,0.4544683808222529,0.4150819043513711,0.49974114350196525,0.7312268462329756
2020-02-25,0.21814669411421583,0.1943658538288774,0.4191653826919915,0.1727211417086325,0.25530923620852564,0.4533364715430724,0.41750831955358725,0.36774559306094534,0.5420348400160482
2020-02-26,0.20448637613200515,0.19098331665376822,0.34547199445308235,0.17127268569231746,0.2540447058979869,0.4430162381795748,0.41707306542060896,0.24370340339877145,0.36055713667270134
2020-02-27,0.1968902294925019,0.18669858368395464,0.3077815084345307,0.17139441250793452,0.25173140913822634,0.42994554128610646,0.41371514093191786,0.2203804493533026,0.263996238827567
2020-02-28,0.1526775474276324,0.17436215331392235,0.1414413167103155,0.17945901530615083,0.2376569824613588,0.3887190062589211,0.40153578220389763,0.09010130375197933,0.16802861554058746
2020-03-02,0.15316018317104851,0.16436510865760112,0.1446553495051428,0.18440589082937509,0.22932370810479497,0.3578222426284273,0.38467785865230786,0.06433776136523928,0.10603096232703234
2020-03-03,0.16780677684928358,0.15911111927315313,0.24005484252550718,0.18637088965740167,0.22443122097172286,0.34548596154427624,0.36835090872560616,0.08985131262115117,0.06091362512890963
2020-03-04,0.1875314710933157,0.15875207666904534,0.3516764638340539,0.1865245033054923,0.223183460207398,0.35145850278193447,0.35666461469559596,0.21541839287094824,0.10422942042195431
2020-03-05,0.20509488344123938,0.16196631080712542,0.4371011801312184,0.1859877329076065,0.22275016380580903,0.37016401018984807,0.3516227990735938,0.39368226243706317,0.21806719857026347
2020-03-06,0.20148564308510442,0.163875253670426,0.42038101319738025,0.18580253828905646,0.2224004072306338,0.38351177091530597,0.35066286580141837,0.509283680882968,0.36304380735231145
2020-03-09,0.14101058012754875,0.15335823914097801,0.2073962322728627,0.19041870475437128,0.2105295410476683,0.3518987619183694,0.34261555653070935,0.4133897479000646,0.4314725168652413
