Date,Close_Scaled,SMA_10_Scaled,SMA_30_Scaled
2020-02-11,0.2169925896637671,0.18952888263016632,0.2026181719977419
2020-02-12,0.22427398054405712,0.19026349502825923,0.2026689256706068
2020-02-13,0.23317105617924105,0.19272434106197955,0.20322159469570378
2020-02-14,0.22991858000070386,0.19750730632553526,0.2029565403069299
2020-02-17,0.2379133967766326,0.20209013274346077,0.203001656868245
2020-02-18,0.24315932609685387,0.20700274071503377,0.2031611717833487
2020-02-19,0.23501768477569318,0.20926800105630927,0.2022121308134731
2020-02-20,0.2184195439146016,0.21056210713888157,0.20128483973177536
2020-02-24,0.2010240627806591,0.20959778260995654,0.19970256585366253
2020-02-25,0.21814669411421583,0.2093339551459884,0.1991515057459584
2020-02-26,0.20448637613200515,0.20797844812692245,0.19780931459987283
2020-02-27,0.1968902294925019,0.20501041414409715,0.19585322509074732
2020-02-28,0.1526775474276324,0.19628598961504595,0.19200791055509725
2020-03-02,0.15316018317104851,0.1879664014830662,0.1884985470187629
2020-03-03,0.16780677684928358,0.18036777739487486,0.18633701567384697
2020-03-04,0.1875314710933157,0.17433845863093578,0.184921506673564
2020-03-05,0.20509488344123938,0.1710952254064304,0.18360267826683263
2020-03-06,0.20148564308510442,0.169259816041617,0.18240227640804674
2020-03-09,0.14101058012754875,0.16275515363774196,0.17900167608084294
2020-03-11,0.1331836433358229,0.15354629026763555,0.17552856629192137
2020-03-12,0.056026525139963534,0.1374552192525662,0.16885948765221503
2020-03-13,0.071323685775596,0.12384547790792588,0.16324740676592675
2020-03-16,0.025201464946254526,0.1100287679878772,0.15613442034336245
2020-03-17,0.00908595982857896,0.0944130406127438,0.14935013495738736
2020-03-18,0.007575142430310988,0.07704606502259226,0.1421300001437602
2020-03-19,0.0,0.05672015065073466,0.13453443684794386
2020-03-20,0.06760952683305654,0.041818568694863,0.12890946495359656
2020-03-23,0.013996129180394723,0.02149720192356508,0.12151933759289546
2020-03-24,0.02803426677917409,0.009252073904361446,0.1145360598089431
2020-03-25,0.04782192242100458,0.0,0.10790323688354142
2020-03-26,0.06488164358654147,0.0009597769283653523,0.10206316178148045
2020-03-27,0.07896173837392684,0.0017876401247468587,0.09648411287403635
2020-03-30,0.05965671847551246,0.005522130814833992,0.0898222861639475
2020-03-31,0.07963320708095933,0.01316851303784028,0.08405230124683993
2020-04-01,0.030384432868677536,0.015640736401898336,0.07608453320429531
2020-04-03,0.007491176823320345,0.01645268022000812,0.06703640270208666
2020-04-07,0.0582717726430626,0.01544059200364245,0.06025050446493552
2020-04-08,0.028999487036227678,0.017066756216454704,0.05297800116037554
